OBJECTID,BeheerType,FREQUENCY,COUNT_Behe
1,A01.01,12686,12686
2,A01.02,4711,4711
3,A01.03,101,101
4,A01.04,92,92
5,A02.01,25393,25393
6,A02.02,4456,4456
7,A11.02,5,5
8,A12.01,2,2
9,A12.02,6,6
10,L01.01,10163,10163
11,L01.02,19229,19229
12,L01.03,2241,2241
13,L01.04,73,73
14,L01.05,1768,1768
15,L01.06,805,805
16,L01.07,3022,3022
17,L01.08,2922,2922
18,L01.09,1059,1059
19,L01.10,46,46
20,L01.11,166,166
21,L01.13,564,564
22,L01.14,56,56
23,L01.15,5,5
24,L01.16,5609,5609
25,L02.01,142,142
26,L02.02,672,672
27,L02.03,199,199
28,L03.01,590,590
29,L04.01,2,2
30,N01.01,115,115
31,N01.02,176,176
32,N01.03,1074,1074
33,N01.04,265,265
34,N02.01,1209,1209
35,N03.01,3490,3490
36,N04.01,739,739
37,N04.02,13629,13629
38,N04.03,388,388
39,N04.04,412,412
40,N05.01,9609,9609
41,N05.02,2674,2674
42,N06.01,3395,3395
43,N06.02,656,656
44,N06.03,233,233
45,N06.04,2449,2449
46,N06.05,893,893
47,N06.06,1649,1649
48,N07.01,4917,4917
49,N07.02,650,650
50,N08.01,173,173
51,N08.02,2659,2659
52,N08.03,1581,1581
53,N08.04,559,559
54,N09.01,157,157
55,N10.01,1980,1980
56,N10.02,5994,5994
57,N11.01,1995,1995
58,N12.01,1458,1458
59,N12.02,33108,33108
60,N12.03,702,702
61,N12.04,802,802
62,N12.05,3022,3022
63,N12.06,2178,2178
64,N13.01,3233,3233
65,N13.02,66,66
66,N14.01,7582,7582
67,N14.02,8384,8384
68,N14.03,9963,9963
69,N15.01,3846,3846
70,N15.02,29513,29513
71,N16.03,38054,38054
72,N16.04,9062,9062
73,N17.01,3,3
74,N17.02,676,676
75,N17.03,1988,1988
76,N17.04,157,157
77,N17.05,600,600
78,N17.06,1600,1600