OBJECTID,BeheerType,FREQUENCY,COUNT_BeheerType
1,A01.01,618,618
2,A01.02,118,118
3,A02.01,4321,4321
4,A02.02,733,733
5,A11.02,18,18
6,A12.01,49,49
7,A12.02,35,35
8,L01.01,7163,7163
9,L01.02,16561,16561
10,L01.03,1977,1977
11,L01.04,1421,1421
12,L01.05,743,743
13,L01.06,560,560
14,L01.07,2825,2825
15,L01.08,2096,2096
16,L01.09,581,581
17,L01.10,37,37
18,L01.11,159,159
19,L01.13,463,463
20,L01.14,2,2
21,L01.15,4,4
22,L01.16,6183,6183
23,L02.01,97,97
24,L02.02,583,583
25,L02.03,164,164
26,L03.01,126,126
27,L04.01,2,2
28,N00.01,10017,10017
29,N00.02,23600,23600
30,N01.01,146,146
31,N01.02,148,148
32,N01.03,701,701
33,N01.04,399,399
34,N02.01,1097,1097
35,N03.01,2500,2500
36,N04.01,839,839
37,N04.02,10477,10477
38,N04.03,577,577
39,N04.04,300,300
40,N05.01,7167,7167
41,N05.02,660,660
42,N06.01,1776,1776
43,N06.02,225,225
44,N06.03,364,364
45,N06.04,2529,2529
46,N06.05,585,585
47,N06.06,984,984
48,N07.01,3863,3863
49,N07.02,417,417
50,N08.01,151,151
51,N08.02,2514,2514
52,N08.03,1529,1529
53,N08.04,446,446
54,N09.01,208,208
55,N10.01,2480,2480
56,N10.02,5066,5066
57,N11.01,1083,1083
58,N12.01,1481,1481
59,N12.02,17481,17481
60,N12.03,375,375
61,N12.04,796,796
62,N12.05,1628,1628
63,N12.06,1067,1067
64,N13.01,3126,3126
65,N13.02,117,117
66,N14.01,5853,5853
67,N14.02,4612,4612
68,N14.03,6007,6007
69,N15.01,3393,3393
70,N15.02,15199,15199
71,N16.01,238,238
72,N16.02,177,177
73,N16.03,27816,27816
74,N16.04,8337,8337
75,N17.02,338,338
76,N17.03,1214,1214
77,N17.04,124,124
78,N17.05,490,490
79,N17.06,1575,1575