OBJECTID,CODE,FREQUENCY,COUNT_CODE
1,A1,29,29
2,A10,7,7
3,A10-F,18,18
4,A11-F,14,14
5,A12,23,23
6,A13,11,11
7,A2,6,6
8,A3,48,48
9,A3-F,2,2
10,A3x,27,27
11,A4,69,69
12,A4x,3,3
13,A5,5,5
14,A5-F,1,1
15,A6,5,5
16,A7,1,1
17,A8,34,34
18,A8x,1,1
19,A9,51,51
20,A9-F,1,1
21,Afgegraven,8,8
22,bA9,1,1
23,Bebouwing,331,331
24,beM2,4,4
25,beM4,24,24
26,beM5,4,4
27,beM9,3,3
28,bM3,31,31
29,bM4,34,34
30,bM4x,1,1
31,bM9,9,9
32,bR1,13,13
33,bR1-G,44,44
34,bR10,12,12
35,bR2,31,31
36,bR3,49,49
37,bR5,7,7
38,bR6,3,3
39,bR8,1,1
40,bR9,5,5
41,bV6,1,1
42,bZ2,109,109
43,bZ2n,2,2
44,bZ3,91,91
45,bZ3/Z4,7,7
46,bZ3n,1,1
47,dL3,5,5
48,dL4,34,34
49,eM10,4,4
50,eM11,16,16
51,eM11v,4,4
52,eM13,2,2
53,eM18,12,12
54,eM2,1,1
55,eM22,1,1
56,eM5,11,11
57,eM6,3,3
58,eM7,13,13
59,eM8,12,12
60,eM8v,1,1
61,K1,17,17
62,K2,18,18
63,K2g,13,13
64,K3,17,17
65,K3g,10,10
66,K4,67,67
67,K5,12,12
68,K6,6,6
69,L1,5,5
70,L1g,4,4
71,L2,43,43
72,L2g,1,1
73,L3,10,10
74,L3g,2,2
75,L4,6,6
76,L4g,6,6
77,L5g,2,2
78,M1,19,19
79,M1-F,1,1
80,M1-F/M10-F,1,1
81,M1-F/M2-F,4,4
82,M1/M2,1,1
83,M10,99,99
84,M10-F,4,4
85,M10v,1,1
86,M11,76,76
87,M11-F,2,2
88,M11v,7,7
89,M12,3,3
90,M13,14,14
91,M13/M20,2,2
92,M13v,1,1
93,M14,49,49
94,M14-G,6,6
95,M15,10,10
96,M15-G,1,1
97,M15/M16,10,10
98,M16,42,42
99,M16-F,3,3
100,M16-G,2,2
101,M17,15,15
102,M18,72,72
103,M18-F,9,9
104,M19,31,31
105,M1v,1,1
106,M2,25,25
107,M2-F/M10-F,2,2
108,M20,37,37
109,M20-G,1,1
110,M21,22,22
111,M21-F,5,5
112,M22,38,38
113,M23,7,7
114,M23-F,2,2
115,M3,1,1
116,M4,8,8
117,M5,14,14
118,M6,23,23
119,M7,111,111
120,M7-F,4,4
121,M7/M13,2,2
122,M7v,1,1
123,M8,113,113
124,M8-F,7,7
125,M8-G,1,1
126,M8v,16,16
127,M9,14,14
128,M9-F,1,1
129,M9-G,2,2
130,mR1,2,2
131,mR3,2,2
132,mR4-G,1,1
133,mR5,6,6
134,mR7,1,1
135,Opgehoogd,19,19
136,R1,15,15
137,R1-G,11,11
138,R10,38,38
139,R2,30,30
140,R3,53,53
141,R3g,1,1
142,R4,8,8
143,R4-G,3,3
144,R5,69,69
145,R6,26,26
146,R6-G,2,2
147,R7,85,85
148,R8,56,56
149,R8-G,1,1
150,R9,18,18
151,S1,12,12
152,S2,5,5
153,V1,15,15
154,V10,34,34
155,V11,71,71
156,V11-F,2,2
157,V11/V14,1,1
158,V12,56,56
159,V12g,1,1
160,V12x,1,1
161,V13,78,78
162,V13-F,2,2
163,V13/Z11,1,1
164,V13/Z8,6,6
165,V13x,2,2
166,V14,59,59
167,V14-F,1,1
168,V14/Z20,1,1
169,V14/Z7,1,1
170,V14g,1,1
171,V15,40,40
172,V2,21,21
173,V3,42,42
174,V4,5,5
175,V5,63,63
176,V5/V13,2,2
177,V5/Z8,1,1
178,V5x,3,3
179,V6,104,104
180,V6/V14,4,4
181,V6x,6,6
182,V7,19,19
183,V8,31,31
184,V8-G,1,1
185,V8/V14,1,1
186,V9,31,31
187,Water,290,290
188,Water/Moeras,11,11
189,Z1,9,9
190,Z10,31,31
191,Z10x,4,4
192,Z11,131,131
193,Z11g,9,9
194,Z11x,46,46
195,Z12,204,204
196,Z12-F,1,1
197,Z12g,35,35
198,Z13,58,58
199,Z14,83,83
200,Z15,18,18
201,Z16,335,335
202,Z16g,10,10
203,Z16x,17,17
204,Z17,36,36
205,Z17g,3,3
206,Z17x,1,1
207,Z18,283,283
208,Z18/Z26,1,1
209,Z18g,13,13
210,Z18x,55,55
211,Z19,47,47
212,Z19x,1,1
213,Z2,52,52
214,Z2-F,1,1
215,Z2-H,3,3
216,Z20,161,161
217,Z20-F,1,1
218,Z20/R4,3,3
219,Z20g,17,17
220,Z20v,4,4
221,Z20x,25,25
222,Z21,65,65
223,Z21-G,2,2
224,Z21g,21,21
225,Z21x,14,14
226,Z21x-G,1,1
227,Z22,8,8
228,Z23,24,24
229,Z23g,1,1
230,Z23n,3,3
231,Z23x,1,1
232,Z24,12,12
233,Z24x,2,2
234,Z25,5,5
235,Z25n,1,1
236,Z26,63,63
237,Z26g,7,7
238,Z26x,1,1
239,Z27,182,182
240,Z28,30,30
241,Z2n,5,5
242,Z2v,1,1
243,Z3,46,46
244,Z3-F,1,1
245,Z3-H,1,1
246,Z3/Z4,5,5
247,Z3n,7,7
248,Z4,28,28
249,Z4/Z27,2,2
250,Z5,56,56
251,Z5g,13,13
252,Z5g/K3g,1,1
253,Z6,53,53
254,Z7,31,31
255,Z7g,3,3
256,Z7x,1,1
257,Z8,416,416
258,Z8-F,1,1
259,Z8-G,2,2
260,Z8/Z26,1,1
261,Z8g,49,49
262,Z8x,89,89
263,Z8x-F,1,1
264,Z9,27,27
265,Z9x,1,1